rule,confidence,lift,assumed_customers,estimated_add_to_cart
"22748, 22745 → 22746",0.7411067193675889,52.64640519301973,1000,741
"22746 → 22748, 22745",0.7411067193675889,52.64640519301973,1000,741
"22748, 22746 → 22745",0.8700696055684454,50.60623296465658,1000,870
"22745 → 22748, 22746",0.6067961165048543,50.60623296465658,1000,607
22300 → 22301,0.7627118644067797,48.78234513541228,1000,763
22301 → 22300,0.6405693950177936,48.78234513541228,1000,641
"22746, 22745 → 22748",0.8992805755395683,48.68168718037618,1000,899
"22748 → 22746, 22745",0.5647590361445782,48.68168718037617,1000,565
22746 → 22745,0.8241106719367588,47.93310372615986,1000,824
22745 → 22746,0.674757281553398,47.93310372615986,1000,675
22748 → 22746,0.6490963855421688,46.11021655793134,1000,649
22746 → 22748,0.8517786561264823,46.11021655793133,1000,852
22745 → 22748,0.8187702265372168,44.32333703747027,1000,819
22748 → 22745,0.7620481927710844,44.32333703747027,1000,762
22579 → 22578,0.7861771058315334,42.752096927555925,1000,786
22578 → 22579,0.5506807866868381,42.752096927555925,1000,551
21899 → 21900,0.764065335753176,38.79142442605637,1000,764
21900 → 21899,0.594632768361582,38.79142442605637,1000,595
21899 → 21901,0.6606170598911071,38.61118734599325,1000,661
21901 → 21899,0.591869918699187,38.61118734599325,1000,592
