antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski,antecedents_str,consequents_str,rule
frozenset({'15056BL'}),frozenset({'15056N'}),0.022673529002642925,0.026624008902489914,0.011990541104465156,0.5288343558282209,19.863062612586628,1.0,0.011386880866447928,2.0658891477720593,0.9716868667455254,0.32140193885160334,0.515946922380399,0.4896000410280081,15056BL,15056N,15056BL → 15056N
frozenset({'15056N'}),frozenset({'15056BL'}),0.026624008902489914,0.022673529002642925,0.011990541104465156,0.45036572622779525,19.863062612586628,1.0,0.011386880866447928,1.7781396059780814,0.9756304912761606,0.32140193885160334,0.4376144614078594,0.4896000410280081,15056N,15056BL,15056N → 15056BL
frozenset({'15056BL'}),frozenset({'20679'}),0.022673529002642925,0.0186952288218111,0.010794269022117123,0.47607361963190187,25.464979550102253,1.0,0.010370382209214744,1.8729821744970117,0.9830188900725143,0.35304822565969063,0.46609208906723876,0.5267272860064272,15056BL,20679,15056BL → 20679
frozenset({'20679'}),frozenset({'15056BL'}),0.0186952288218111,0.022673529002642925,0.010794269022117123,0.5773809523809523,25.46497955010225,1.0,0.010370382209214744,2.312547142641633,0.9790336406953598,0.35304822565969063,0.5675763829585349,0.5267272860064272,20679,15056BL,20679 → 15056BL
frozenset({'20676'}),frozenset({'20675'}),0.02439838642370288,0.017804979830296285,0.010822089303101962,0.443557582668187,24.911995795324973,1.0,0.010387676524936157,1.7651332637066193,0.9838633746612896,0.34485815602836883,0.4334705370063159,0.5256850413340936,20676,20675,20676 → 20675
frozenset({'20675'}),frozenset({'20676'}),0.017804979830296285,0.02439838642370288,0.010822089303101962,0.6078125000000001,24.911995795324977,1.0,0.010387676524936157,2.4875897716686466,0.9772587685206657,0.34485815602836883,0.5980044574113152,0.5256850413340936,20675,20676,20675 → 20676
frozenset({'20677'}),frozenset({'20675'}),0.01908471275559883,0.017804979830296285,0.011907080261510642,0.6239067055393587,35.04113520408164,1.0,0.011567277335830206,2.611572805567507,0.9903629033006223,0.47661469933184863,0.6170889825977127,0.6463283527696794,20677,20675,20677 → 20675
frozenset({'20675'}),frozenset({'20677'}),0.017804979830296285,0.01908471275559883,0.011907080261510642,0.6687500000000001,35.04113520408164,1.0,0.011567277335830206,2.961253697341589,0.9890725281823152,0.47661469933184863,0.6623051915822911,0.6463283527696794,20675,20677,20675 → 20677
frozenset({'20676'}),frozenset({'20677'}),0.02439838642370288,0.01908471275559883,0.010098761997496175,0.41391106043329534,21.688094850254814,1.0,0.009633125800899704,1.6736628539170038,0.9777472088073828,0.30250000000000005,0.4025080991314218,0.4715327896918664,20676,20677,20676 → 20677
frozenset({'20677'}),frozenset({'20676'}),0.01908471275559883,0.02439838642370288,0.010098761997496175,0.5291545189504374,21.688094850254814,1.0,0.009633125800899704,2.072020764437585,0.9724506967996058,0.30250000000000005,0.5173793539316035,0.4715327896918664,20677,20676,20677 → 20676
