antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
frozenset({'21754'}),frozenset({'21755'}),0.05377660314369175,0.04431770760884685,0.022562247878703576,0.41955509570615623,9.466985508573625,1.0,0.02017899210438445,1.6464651258396603,0.945199366061126,0.2987108655616943,0.3926382136457204,0.46432870918390046
frozenset({'21755'}),frozenset({'21754'}),0.04431770760884685,0.05377660314369175,0.022562247878703576,0.5091023226616447,9.466985508573625,1.0,0.02017899210438445,1.9275369196829912,0.9358442256192078,0.2987108655616943,0.4812031926400334,0.46432870918390046
frozenset({'20971'}),frozenset({'20972'}),0.028543608290443733,0.03508137432188065,0.016024481847266656,0.5614035087719298,16.00289383251944,1.0,0.015023132840332463,2.200014466546112,0.9650575259887167,0.336645236703682,0.5454575343906993,0.5090919209204613
frozenset({'20972'}),frozenset({'20971'}),0.03508137432188065,0.028543608290443733,0.016024481847266656,0.4567803330689928,16.00289383251944,1.0,0.015023132840332463,1.78833067145365,0.9715962331334331,0.336645236703682,0.4408192981518642,0.5090919209204613
frozenset({'22273'}),frozenset({'22271'}),0.02058700792878008,0.019863680623174295,0.010098761997496175,0.4905405405405406,24.695349761526234,1.0,0.00968982824701213,1.9238750035513288,0.9796751259740762,0.3327222731439047,0.48021571143963365,0.49947195094253916
frozenset({'22271'}),frozenset({'22273'}),0.019863680623174295,0.02058700792878008,0.010098761997496175,0.5084033613445378,24.69534976152623,1.0,0.00968982824701213,1.9923101889995753,0.9789521390229445,0.3327222731439047,0.49807012707085385,0.49947195094253916
frozenset({'20711'}),frozenset({'21931'}),0.026902211712338295,0.05959104186952288,0.013465015996661566,0.500517063081696,8.399199735047414,1.0,0.011861885172128845,1.8827649327374147,0.9052954891598921,0.1843809523809524,0.46886624951843214,0.3632370562840786
frozenset({'20711'}),frozenset({'85099B'}),0.026902211712338295,0.10307414104882459,0.01557935735150925,0.5791106514994829,5.618389303144107,1.0,0.012806434986946353,2.1310253208987384,0.844738376367186,0.13618677042801558,0.5307423191113186,0.36512887500750124
frozenset({'20711'}),frozenset({'22386'}),0.026902211712338295,0.05911809709278064,0.012268743914313535,0.4560496380558428,7.714213759961068,1.0,0.010678336350292979,1.7297201523028156,0.8944313425905936,0.16635231987929086,0.4218717989330949,0.33178952491027436
frozenset({'20711'}),frozenset({'22411'}),0.026902211712338295,0.05692029489497844,0.011155932674920016,0.41468459152016546,7.285355641345233,1.0,0.009624650850926578,1.6112333477677665,0.8865895613188425,0.1535222052067381,0.3793574336172851,0.3053383856916565
"frozenset({'21931', '20711'})",frozenset({'85099B'}),0.013465015996661566,0.10307414104882459,0.010098761997496175,0.7500000000000001,7.276315789473686,1.0,0.008710867039431601,3.5877034358047033,0.8743408251318349,0.09487715629900681,0.7212701612903227,0.4239878542510122
"frozenset({'85099B', '20711'})",frozenset({'21931'}),0.01557935735150925,0.05959104186952288,0.010098761997496175,0.6482142857142857,10.877713585434174,1.0,0.009170371861262128,2.6732437388480568,0.9224399375464927,0.15519452757588714,0.6259226252107801,0.4088410364145658
frozenset({'22352'}),frozenset({'21559'}),0.028376686604534705,0.031130894422033664,0.011851439699540965,0.4176470588235294,13.4158387215476,1.0,0.010968048064808058,1.6637146257399424,0.9524897415992014,0.2486865148861646,0.39893537958455655,0.3991720548809336
frozenset({'85014B'}),frozenset({'85014A'}),0.02292391153150647,0.0178884406732508,0.01098901098901099,0.47936893203883496,26.79769247610563,1.0,0.010578937957580787,1.886386771294269,0.9852695869866167,0.3684701492537314,0.4698860195494851,0.5468384318047985
