Model,Rule_Coefficient,P_Value,CI_Lower,CI_Upper,R_Squared,Adj_R_Squared,Approx_Percentage_Effect_Log_Models,Interpretation
Model 1A - Baseline AOV,295.3146,0.0,222.6911,367.9381,0.0033,0.0033,,Positive and statistically significant
Model 2A - + BasketSize,26.3143,0.42,-37.6436,90.2723,0.1972,0.1972,,Not statistically significant
Model 3A - + BasketSize + AvgUnitPrice,28.1493,0.3878,-35.7302,92.0288,0.1975,0.1974,,Not statistically significant
Model 4A - + BasketSize + AvgUnitPrice + TotalQuantity,-19.5486,0.3428,-59.9343,20.8371,0.722,0.722,,Not statistically significant
Model 5A - + BasketSize + AvgUnitPrice + TotalQuantity + Country,-20.1419,0.3277,-60.4795,20.1957,0.725,0.7247,,Not statistically significant
Model 1B - Baseline log_AOV,0.7166,0.0,0.632,0.8013,0.0035,0.0035,104.7503,Positive and statistically significant
Model 2B - log_AOV + BasketSize,0.0863,0.0429,0.0028,0.1698,0.1983,0.1983,9.0093,Positive and statistically significant
Model 3B - log_AOV + BasketSize + AvgUnitPrice,0.0858,0.0442,0.0022,0.1694,0.1984,0.1983,8.9599,Positive and statistically significant
Model 4B - log_AOV + BasketSize + AvgUnitPrice + TotalQuantity,0.0085,0.8154,-0.0628,0.0797,0.4505,0.4504,0.8522,Not statistically significant
Model 5B - log_AOV + BasketSize + AvgUnitPrice + TotalQuantity + Country,-0.0035,0.9237,-0.0744,0.0674,0.4552,0.4545,-0.3459,Not statistically significant
