antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski,antecedents_str,consequents_str,rule
"frozenset({'22748', '22745'})",frozenset({'22746'}),0.014077062178328001,0.014077062178328001,0.01043260536931423,0.7411067193675889,52.646405193019724,1.0,0.010234441689741717,3.8082214239524115,0.9950121993660469,0.5886970172684458,0.7374102268029002,0.7411067193675889,"22748, 22745",22746,"22748, 22745 → 22746"
frozenset({'22746'}),"frozenset({'22748', '22745'})",0.014077062178328001,0.014077062178328001,0.01043260536931423,0.7411067193675889,52.646405193019724,1.0,0.010234441689741717,3.8082214239524115,0.9950121993660469,0.5886970172684458,0.7374102268029002,0.7411067193675889,22746,"22748, 22745","22746 → 22748, 22745"
"frozenset({'22748', '22746'})",frozenset({'22745'}),0.011990541104465156,0.017192933648629852,0.01043260536931423,0.8700696055684454,50.606232964656584,1.0,0.010226452791693992,7.564104385668575,0.9921358337557021,0.5563798219584569,0.8677966420063342,0.7384328610366498,"22748, 22746",22745,"22748, 22746 → 22745"
frozenset({'22745'}),"frozenset({'22748', '22746'})",0.017192933648629852,0.011990541104465156,0.01043260536931423,0.6067961165048543,50.606232964656584,1.0,0.010226452791693992,2.5127154139812364,0.9973876072126137,0.5563798219584569,0.6020241709682657,0.7384328610366498,22745,"22748, 22746","22745 → 22748, 22746"
frozenset({'22300'}),frozenset({'22301'}),0.01313117262484351,0.015634997913478926,0.010015301154541661,0.7627118644067797,48.78234513541228,1.0,0.0098099952979507,4.148395365936055,0.9925339146831548,0.5341246290801188,0.7589429377413361,0.7016406297122867,22300,22301,22300 → 22301
frozenset({'22301'}),frozenset({'22300'}),0.015634997913478926,0.01313117262484351,0.010015301154541661,0.6405693950177936,48.78234513541228,1.0,0.0098099952979507,2.7456449553704854,0.9950585183719739,0.5341246290801188,0.6357868492632309,0.7016406297122867,22301,22300,22301 → 22300
"frozenset({'22746', '22745'})",frozenset({'22748'}),0.011601057170677423,0.018472666573932397,0.01043260536931423,0.8992805755395683,48.68168718037618,1.0,0.010218302908295177,9.745164239015953,0.9909545147489304,0.5311614730878186,0.8973850029128931,0.7320198058420733,"22746, 22745",22748,"22746, 22745 → 22748"
frozenset({'22748'}),"frozenset({'22746', '22745'})",0.018472666573932397,0.011601057170677423,0.01043260536931423,0.5647590361445782,48.68168718037617,1.0,0.010218302908295177,2.270923522625156,0.9978921232391372,0.5311614730878186,0.5596505166127241,0.7320198058420733,22748,"22746, 22745","22748 → 22746, 22745"
frozenset({'22746'}),frozenset({'22745'}),0.014077062178328001,0.017192933648629852,0.011601057170677423,0.8241106719367588,47.933103726159864,1.0,0.011359031174677793,5.587644669368461,0.9931177719299208,0.5898161244695898,0.8210337164991874,0.7494339767450784,22746,22745,22746 → 22745
frozenset({'22745'}),frozenset({'22746'}),0.017192933648629852,0.014077062178328001,0.011601057170677423,0.674757281553398,47.933103726159864,1.0,0.011359031174677793,3.0313451521084236,0.9962663322508127,0.5898161244695898,0.6701134480498008,0.7494339767450784,22745,22746,22745 → 22746
frozenset({'22748'}),frozenset({'22746'}),0.018472666573932397,0.014077062178328001,0.011990541104465156,0.6490963855421688,46.11021655793134,1.0,0.011730500228504389,2.809668801345881,0.996725000889445,0.5832205683355887,0.6440861643475622,0.7504375208343255,22748,22746,22748 → 22746
frozenset({'22746'}),frozenset({'22748'}),0.014077062178328001,0.018472666573932397,0.011990541104465156,0.8517786561264823,46.11021655793133,1.0,0.011730500228504389,6.622037742847873,0.9922812369530889,0.5832205683355887,0.8489890817852783,0.7504375208343255,22746,22748,22746 → 22748
frozenset({'22745'}),frozenset({'22748'}),0.017192933648629852,0.018472666573932397,0.014077062178328001,0.8187702265372168,44.32333703747027,1.0,0.013759462847609118,5.41592760765455,0.9945375397849856,0.6520618556701029,0.8153594227170504,0.7904092096541506,22745,22748,22745 → 22748
frozenset({'22748'}),frozenset({'22745'}),0.018472666573932397,0.017192933648629852,0.014077062178328001,0.7620481927710844,44.32333703747027,1.0,0.013759462847609118,4.130277797831075,0.9958342356504688,0.6520618556701029,0.7578855348361487,0.7904092096541506,22748,22745,22748 → 22745
frozenset({'22579'}),frozenset({'22578'}),0.01288079009597997,0.018389205730977885,0.010126582278481013,0.7861771058315334,42.752096927555925,1.0,0.009889714779428495,4.590765633803607,0.9893529825678521,0.47894736842105246,0.7821714110960909,0.6684289462591857,22579,22578,22579 → 22578
frozenset({'22578'}),frozenset({'22579'}),0.018389205730977885,0.01288079009597997,0.010126582278481013,0.5506807866868381,42.752096927555925,1.0,0.009889714779428495,2.196921877934536,0.994904844333764,0.47894736842105246,0.5448176787514344,0.6684289462591857,22578,22579,22578 → 22579
frozenset({'21899'}),frozenset({'21900'}),0.015328974822645709,0.019696758937265267,0.011712338294616776,0.764065335753176,38.79142442605637,1.0,0.011410407172779715,4.154977583273591,0.9893874010343287,0.5023866348448688,0.7593248146450581,0.679349052057379,21899,21900,21899 → 21900
frozenset({'21900'}),frozenset({'21899'}),0.019696758937265267,0.015328974822645709,0.011712338294616776,0.594632768361582,38.79142442605637,1.0,0.011410407172779715,2.429083922737167,0.9937956600223921,0.5023866348448688,0.5883221692591135,0.679349052057379,21900,21899,21900 → 21899
frozenset({'21899'}),frozenset({'21901'}),0.015328974822645709,0.017109472805675336,0.010126582278481013,0.6606170598911071,38.611187345993244,1.0,0.009864311600614075,2.8961105908239193,0.9892651917783297,0.45386533665835416,0.6547093183635959,0.6262434892951471,21899,21901,21899 → 21901
frozenset({'21901'}),frozenset({'21899'}),0.017109472805675336,0.015328974822645709,0.010126582278481013,0.591869918699187,38.611187345993244,1.0,0.009864311600614075,2.4126401612911272,0.9910572374130256,0.45386533665835416,0.5855163086297756,0.6262434892951471,21901,21899,21901 → 21899
